2026-04-01 12:10:43 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-MOS-1[0m
2026-04-01 12:10:43 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-MOS-1[0m
2026-04-01 12:10:43 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-MOT-1[0m
2026-04-01 12:10:43 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-MOT-1[0m
2026-04-01 12:10:43 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-UNITS-1[0m
2026-04-01 12:10:43 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-UNITS-1[0m
2026-04-01 12:10:43 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-WORLD_TRADE-1[0m
2026-04-01 12:10:43 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-WORLD_TRADE-1[0m
2026-04-01 12:10:43 | INFO     |  112 | data_checker.py | - | check_data_list | ✅ Все 11 папок проверены[0m
2026-04-01 12:10:51 | INFO     |   16 | api.py | - | check_data | Запрос на проверку данных[0m
2026-04-01 12:10:51 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-MACMAP-COUNTRY-1[0m
2026-04-01 12:10:51 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-MACMAP-COUNTRY-1[0m
2026-04-01 12:10:51 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-MACMAP-HS-1[0m
2026-04-01 12:10:51 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-MACMAP-HS-1[0m
2026-04-01 12:10:51 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-MACMAP-MEASURES-1[0m
2026-04-01 12:10:51 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-MACMAP-MEASURES-1[0m
2026-04-01 12:10:51 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-MACMAP-QUOTA-1[0m
2026-04-01 12:10:51 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-MACMAP-QUOTA-1[0m
2026-04-01 12:10:51 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-MACMAP-TARIFFS-1[0m
2026-04-01 12:10:51 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-MACMAP-TARIFFS-1[0m
2026-04-01 12:10:51 | INFO     |  112 | data_checker.py | - | check_data_list | ✅ Все 5 папок проверены[0m
2026-04-01 12:12:28 | INFO     |   92 | api.py | - | include_app_routers | ✅ Подключены приложения: comtrade→/api/v1/comtrade, macmap→/api/v1/macmap[0m
2026-04-01 12:12:56 | INFO     |   47 | main.py | - | lifespan | 🛑 Остановка сервиса...[0m
2026-04-01 12:12:56 | INFO     |  332 | database.py | - | close_all | Все sync-подключения закрыты[0m
2026-04-01 12:12:58 | INFO     |   88 | api.py | - | include_app_routers | ✅ Подключены приложения: comtrade→/api/v1/comtrade, macmap→/api/v1/macmap[0m
2026-04-01 12:17:26 | INFO     |   47 | main.py | - | lifespan | 🛑 Остановка сервиса...[0m
2026-04-01 12:17:26 | INFO     |  332 | database.py | - | close_all | Все sync-подключения закрыты[0m
2026-04-01 12:17:28 | INFO     |   88 | api.py | - | include_app_routers | ✅ Подключены приложения: comtrade→/api/v1/comtrade, macmap→/api/v1/macmap[0m
2026-04-01 12:20:16 | INFO     |   64 | api.py | - | get_available_dates | Запрос доступных дат: dataset=/api/v1/comtrade/check-data[0m
2026-04-01 12:20:21 | INFO     |   64 | api.py | - | get_available_dates | Запрос доступных дат: dataset=/api/v1/comtrade/check-data[0m
2026-04-01 12:20:49 | INFO     |   64 | api.py | - | get_available_dates | Запрос доступных дат: dataset=API-COMTRADE-COUNTRY_AREAS-1[0m
2026-04-01 12:20:49 | INFO     |  149 | data_checker.py | - | extract_dates_from_folders | 📁 Сканирование папок для дат: ***\Desktop\data\API-COMTRADE-COUNTRY_AREAS-1[0m
2026-04-01 12:20:49 | INFO     |  187 | data_checker.py | - | extract_dates_from_folders | ✅ Найдено 2 дат: ['2025-10-21', '2025-11-18'][0m
2026-04-01 12:22:20 | INFO     |   16 | api.py | - | check_data | Запрос на проверку данных[0m
2026-04-01 12:22:20 | INFO     |   81 | data_checker.py | - | check_data_list | 📁 Проверка: ***\Desktop\data\API-COMTRADE-COUNTRY_AREAS-1[0m
2026-04-01 12:22:20 | INFO     |   96 | data_checker.py | - | check_data_list | ✅ Папка содержит файлы: API-COMTRADE-COUNTRY_AREAS-1[0m
